DATE;SOURCE;PORT;DESTINATION;FLAG;SEQ
02:48:07.816962;oklm-VirtualBox.34694;34694;server-54-192-66-86.mrs52.r.cloudfront.net.https:;.;
02:48:08.413937;oklm-VirtualBox.55294;55294;bbox.lan.domain:;1au;
02:48:08.414194;oklm-VirtualBox.52007;52007;bbox.lan.domain:;1au;
02:48:08.451631;bbox.lan.domain;domain;oklm-VirtualBox.55294:;;
02:48:08.469429;bbox.lan.domain;domain;oklm-VirtualBox.52007:;;
02:48:08.471482;oklm-VirtualBox.44280;44280;239.237.117.34.bc.googleusercontent.com.https:;S;626372619
02:48:08.502047;oklm-VirtualBox.39314;39314;bbox.lan.domain:;1au;
02:48:08.503573;239.237.117;https;oklm-VirtualBox.44280:;S.;147520001
02:48:08.503680;oklm-VirtualBox.44280;44280;239.237.117.34.bc.googleusercontent.com.https:;.;
02:48:08.506314;oklm-VirtualBox.44280;44280;239.237.117.34.bc.googleusercontent.com.https:;P.;1:518
02:48:08.507692;239.237.117;https;oklm-VirtualBox.44280:;.;
02:48:08.517144;oklm-VirtualBox.41631;41631;bbox.lan.domain:;1au;
02:48:08.517746;oklm-VirtualBox.48931;48931;bbox.lan.domain:;1au;
02:48:08.520224;239.237.117;https;oklm-VirtualBox.44280:;.;1:2921
02:48:08.520310;oklm-VirtualBox.44280;44280;239.237.117.34.bc.googleusercontent.com.https:;.;
02:48:08.521108;239.237.117;https;oklm-VirtualBox.44280:;P.;2921:4518
02:48:08.521122;oklm-VirtualBox.44280;44280;239.237.117.34.bc.googleusercontent.com.https:;.;
02:48:08.539205;bbox.lan.domain;domain;oklm-VirtualBox.41631:;;
02:48:08.557964;bbox.lan.domain;domain;oklm-VirtualBox.48931:;;
02:48:08.558508;oklm-VirtualBox.41081;41081;bbox.lan.domain:;1au;
02:48:08.572477;bbox.lan.domain;domain;oklm-VirtualBox.39314:;;
02:48:08.597125;bbox.lan.domain;domain;oklm-VirtualBox.41081:;;
02:48:08.598489;oklm-VirtualBox.55492;55492;ec2-52-45-210-128.compute-1.amazonaws.com.https:;S;3435202023
02:48:08.605401;oklm-VirtualBox.46090;46090;bbox.lan.domain:;1au;
02:48:08.621173;oklm-VirtualBox.34327;34327;bbox.lan.domain:;1au;
02:48:08.621556;oklm-VirtualBox.35670;35670;bbox.lan.domain:;1au;
02:48:08.649965;bbox.lan.domain;domain;oklm-VirtualBox.46090:;;
02:48:08.656415;bbox.lan.domain;domain;oklm-VirtualBox.35670:;;
02:48:08.656493;bbox.lan.domain;domain;oklm-VirtualBox.34327:;;
02:48:08.661410;oklm-VirtualBox.51226;51226;a92-123-236-145.deploy.static.akamaitechnologies.com.http:;S;4123819175
02:48:08.680511;a92-123-236-145.deploy.static;http;oklm-VirtualBox.51226:;S.;147584001
02:48:08.680570;oklm-VirtualBox.51226;51226;a92-123-236-145.deploy.static.akamaitechnologies.com.http:;.;
02:48:08.680819;oklm-VirtualBox.51226;51226;a92-123-236-145.deploy.static.akamaitechnologies.com.http:;P.;1:424
02:48:08.681588;a92-123-236-145.deploy.static;http;oklm-VirtualBox.51226:;.;
02:48:08.696985;a92-123-236-145.deploy.static;http;oklm-VirtualBox.51226:;P.;1:889
